Date,BTC_Balance,BTC_Change,Total_Cost_Basis,Market_Price_BTC,Stock_Price_MSTR
2025-06-01,580955,705,40680211965,104646,
2025-05-25,580250,4020,40605314750,107794,
2025-05-19,576230,7390,40178212980,106502,
2025-05-11,568840,13390,39413217080,104818,
2025-05-02,555450,1895,38076097500,96525,
2025-04-27,553555,15355,37890000000,94668,
2025-04-20,538200,6556,36470000000,85075,
2025-04-13,531644,3459,35630386348,85276,
2025-03-31,528185,22048,35630303730,82381,
2025-03-24,506137,6911,33735635290,87369,
2025-03-17,499226,130,33151635290,83559,
2025-02-24,499096,20356,33151552399,95134,
2025-02-10,478740,7633,31166557415,97230,
2025-01-27,471107,10107,30424210000,100419,
2025-01-21,461000,11000,29324210000,103823,
2025-01-13,450000,2530,28210950000,93018,
2025-01-06,447470,1070,27970000000,100173,
2024-12-30,446400,2138,27900000000,93337,
2024-12-23,444262,5262,27700000000,94723,
2024-12-15,439000,15350,27097240330,102501,
2024-12-08,423650,21550,25556315230,99850,
2024-12-02,402100,15400,23427541580,96084,
2024-11-24,386700,55500,21949511180,97441,
2024-11-17,331200,51780,16518170180,90322,
2024-11-11,279420,27200,11929064120,83102,
2024-09-20,252220,7420,9903670520,63232,
2024-09-13,244800,18300,9450000000,58732,
2024-08-01,226500,169,8300000000,64168,
2024-06-20,226331,11931,8330000000,65303,
2024-04-29,214400,122,7542592000,62792,
2024-03-31,214278,32,7535000000,70525,
2024-03-19,214246,9246,7533000000,64393,
2024-03-10,205000,12000,6910000000,69421,
2024-02-26,193000,3000,6087992000,52328,
2024-02-06,190000,850,5930000000,42946,
2023-12-26,189150,14620,5895000000,42757,
2023-11-29,174530,16130,5280000000,37969,
2023-10-31,158400,155,4686422400,34413,
2023-09-24,158245,5445,4681203590,26574,
2023-07-31,152800,467,4530000000,29278,
2023-06-28,152333,12333,4520000000,30694,
2023-04-06,140000,1045,4170000000,28197,
2023-03-23,138955,6455,4140000000,27449,
2022-12-27,132500,2500,4027052651,16900,
2022-09-20,130000,301,3982375151,19570,
2022-06-29,129699,481,3976400000,20283,
2022-04-04,129218,4167,3966400000,46435,
2022-01-31,125051,660,3775900000,37983,
2021-12-30,124391,1914,3750900000,46507,
2021-12-09,122477,1434,3656700000,50530,
2021-11-29,121043,7002,3574300000,57238,
2021-09-12,114041,5050,3159900000,45196,
2021-08-23,108991,3907,2917000000,49251,
2021-06-21,105084,13005,2740000000,35787,
2021-05-18,92079,229,2251000000,43781,
2021-05-13,91850,271,2241000000,50005,
2021-04-05,91579,253,2226000000,58229,
2021-03-12,91326,262,2211000000,57789,
2021-03-05,91064,205,2196000000,48727,
2021-03-01,90859,328,2186000000,44970,
2021-02-24,90531,19452,2171000000,48692,
2021-02-02,71079,295,1145000000,33406,
2021-01-22,70784,314,1135000000,30914,
2020-12-21,70470,29646,1125000000,23518,
2020-12-05,40824,2574,475000000,18711,
2020-09-14,38250,16796,425000000,10329,
2020-08-11,21454,21454,250000000,11863,
